STOP_ID,HASTUS_CROSS_STREET_NAME,lat,lon,ROUTE_NUM
64480,null,null,null,208
10600,null,null,null,75
10600,null,null,null,79
10620,null,null,null,62
10620,null,null,null,75
10630,null,null,null,62
10630,null,null,null,75
12030,null,null,null,14
12040,null,null,null,14
12050,null,null,null,14
12070,null,null,null,14
12080,null,null,null,14
12090,null,null,null,14
12110,null,null,null,14
39230,null,null,null,348
39240,null,null,null,348
39250,null,null,null,348
39260,null,null,null,348
39270,null,null,null,348
39290,null,null,null,348
39310,null,null,null,348
39320,null,null,null,348
39332,null,null,null,348
47412,null,null,null,156
47412,null,null,null,635
47413,null,null,null,156
47413,null,null,null,635
48920,null,null,null,156
48920,null,null,null,165
12130,null,null,null,14
12140,null,null,null,14
13380,null,null,null,12
13381,null,null,null,12
13390,null,null,null,3
13410,null,null,null,3
13420,null,null,null,3
13430,null,null,null,3
13441,null,null,null,11
13441,null,null,null,3
40806,null,null,null,113
40807,null,null,null,113
40811,null,null,null,128
40812,null,null,null,128
40813,null,null,null,128
41980,null,null,null,43
41980,null,null,null,60
41980,null,null,null,96N
41980,null,null,null,9E
48925,null,null,null,156
48925,null,null,null,165
49940,null,null,null,132
49950,null,null,null,132
49960,null,null,null,132
49970,null,null,null,132
49980,null,null,null,132
50010,null,null,null,132
67160,null,null,null,226
67170,null,null,null,226
67180,null,null,null,226
67190,null,null,null,226
67200,null,null,null,226
67210,null,null,null,226
67220,null,null,null,226
67230,null,null,null,226
67240,null,null,null,226
13460,null,null,null,11
13460,null,null,null,3
15480,null,null,null,56
15480,null,null,null,57
15500,null,null,null,56
15500,null,null,null,57
15521,null,null,null,56
15521,null,null,null,57
15532,null,null,null,56
15532,null,null,null,57
15540,null,null,null,50
15540,null,null,null,56
15540,null,null,null,57
15540,null,null,null,775
41981,null,null,null,193E
41982,null,null,null,43
41982,null,null,null,60
41982,null,null,null,9E
41986,null,null,null,43
41986,null,null,null,96N
41986,null,null,null,9E
41987,null,null,null,43
41987,null,null,null,9E
41988,null,null,null,96N
41989,null,null,null,43
41989,null,null,null,9E
41990,null,null,null,193E
41990,null,null,null,60
42000,null,null,null,193E
42000,null,null,null,60
42010,null,null,null,60
44968,null,null,null,111
51301,null,null,null,631
51310,null,null,null,631
51330,null,null,null,631
51350,null,null,null,631
51360,null,null,null,631
51370,null,null,null,631
51380,null,null,null,631
51390,null,null,null,631
51400,null,null,null,631
52800,null,null,null,A
15570,null,null,null,50
15570,null,null,null,56
15570,null,null,null,57
15570,null,null,null,775
17410,null,null,null,44
17410,null,null,null,62
17420,null,null,null,62
17440,null,null,null,62
44969,null,null,null,111
44970,null,null,null,111
44972,null,null,null,111
44974,null,null,null,111
44976,null,null,null,111
44977,null,null,null,111
44978,null,null,null,111
44980,null,null,null,111
46110,null,null,null,36
46130,null,null,null,50
54090,null,null,null,111
54095,null,null,null,111
54100,null,null,null,111
54105,null,null,null,111
18760,null,null,null,17E
18760,null,null,null,44
18770,null,null,null,17E
46150,null,null,null,50
46165,null,null,null,50
46221,null,null,null,107
47415,null,null,null,156
47415,null,null,null,635
47416,null,null,null,165
47417,null,null,null,156
47417,null,null,null,635
54110,null,null,null,111
54115,null,null,null,111
54120,null,null,null,111
54125,null,null,null,111
54130,null,null,null,111
54135,null,null,null,111
54140,null,null,null,111
54145,null,null,null,111
55802,null,null,null,106
55812,null,null,null,106
70314,null,null,null,231
70314,null,null,null,239
70315,null,null,null,231
70315,null,null,null,239
70317,null,null,null,231
70317,null,null,null,239
70318,null,null,null,231
70318,null,null,null,239
70319,null,null,null,231
70319,null,null,null,239
70320,null,null,null,230
70320,null,null,null,231
70320,null,null,null,255
70330,null,null,null,230
70330,null,null,null,231
70330,null,null,null,255
70330,null,null,null,893N
70340,null,null,null,255
70350,null,null,null,255
20829,null,null,null,13
20829,null,null,null,2
20829,null,null,null,24
20829,null,null,null,33
20829,null,null,null,8
22242,null,null,null,125
47419,null,null,null,156
47420,null,null,null,165
47430,null,null,null,165
47440,null,null,null,165
47450,null,null,null,165
47451,null,null,null,165
47460,null,null,null,165
48930,null,null,null,156
48930,null,null,null,165
48948,null,null,null,A
48949,null,null,null,A
55831,null,null,null,106
55851,null,null,null,106
55860,null,null,null,599
56820,null,null,null,111
56825,null,null,null,111
56830,null,null,null,111
56835,null,null,null,111
56840,null,null,null,111
56845,null,null,null,111
70370,null,null,null,255
22244,null,null,null,125
22244,null,null,null,128
22252,null,null,null,128
22252,null,null,null,60
22253,null,null,null,128
22253,null,null,null,60
22255,null,null,null,113
23820,null,null,null,75
