STOP_ID,HASTUS_CROSS_STREET_NAME,XCOORD,YCOORD,ROUTE_LIST,lon,lat
75248,Boeing Access Rd,1285550.5,340926.7,null,-122.28083046545461,47.925487408286216
77992,113th Ave NE,1306578.2,280159.7,null,-122.19070551971883,47.75997566597303
77993,NE 180th St,1306659.0,279879.0,null,-122.1903569352652,47.75921016090905
77998,NE 180th Pl,1315368.4,279098.9,null,-122.15489802168003,47.75748737115018
77999,138th Pl NE,1315574.7,278881.2,null,-122.154044233773,47.7569003493985
78000,NE 175th St,1315276.3,278209.7,null,-122.15521031057852,47.75504567735657
80149,S 154th St,1277054.0,173232.1,null,-122.30242291543146,47.46539813867294
80150,24th Ave S,1276859.0,173131.8,null,-122.30320337201739,47.465113010052455
80151,24th Ave S,1276976.9,173131.9,null,-122.30272682382818,47.46511945630147
80152,S 161st St,1277558.4,170632.2,null,-122.30018376799674,47.45829821280174
80153,S 165th St,1277357.6,169838.9,null,-122.3009341531112,47.45611328990004
80154,S 166th St,1277217.9,168894.0,null,-122.30142587121158,47.45351602362948
80155,Air Cargo Rd,1277151.0,173130.5,null,-122.3020229973421,47.465124729516106
80160,Lakeside Blvd E,1286861.5,144630.7,null,-122.2606355920975,47.387507607591466
82106,NE 184th St,1283913.9,280225.1,null,-122.28284145060714,47.75902187631297
82107,NE 175th St,1285176.6,278514.4,null,-122.27757811437256,47.754397948311606
82110,Lake City Way NE,1281130.0,271061.8,null,-122.29345102552777,47.7337611482596
82088,33rd Ave NE,1281144.0,282982.4,null,-122.29431372734274,47.76643599696602
82810,112th Ave NE,1305436.3,225487.5,null,-122.19142493309776,47.610060905176276
82811,110th Ave NE,1304846.9,225509.0,null,-122.19381554695936,47.61009129897897
82820,Main St,1304906.2,225600.4,null,-122.19358172940082,47.61034470559813
82821,108th Ave SE,1304314.7,225523.1,null,-122.19597377789596,47.61010413543986
82830,105th Ave SE,1303424.8,225549.9,null,-122.19958282417154,47.610134342936476
82831,108th Ave NE,1304079.9,225530.6,null,-122.1969260546846,47.61011329223004
82832,103rd Ave NE,1302542.8,225573.8,null,-122.20315964352822,47.610156872408574
82834,100th Ave SE,1301687.4,225601.1,null,-122.20662889160747,47.610189910348595
